MSN,YYYYMM,Value,Column_Order,Description,Unit
NUCASUS,197509,56.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197510,55.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197511,54.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197512,60.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197513,55.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197601,58.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197602,55.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197603,50.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197604,40,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197605,41,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197606,54.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197607,59.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197608,62,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197609,58.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197610,57,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197611,54.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197612,64.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197613,54.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197701,66.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197702,65.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197703,62.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197704,62,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197705,62.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197706,67.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197707,65.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197708,66.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197709,59,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197710,55.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197711,58.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197712,69,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197713,63.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197801,75,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197802,70.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197803,63.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197804,49.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197805,55.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197806,62.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197807,68.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197808,69.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197809,61.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197810,60.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197811,69.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197812,67.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197813,64.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197901,73.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197902,76.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197903,65.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197904,51.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197905,40.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197906,44.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197907,56.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197908,65.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197909,61,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197910,56.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197911,53.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197912,55.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,197913,58.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198001,53.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198002,55.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198003,54.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198004,52.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198005,49.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198006,51.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198007,55.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198008,63.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198009,63.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198010,63.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198011,56.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198012,57.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198013,56.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198101,61.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198102,62,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198103,57.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198104,55.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198105,50.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198106,54.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198107,57.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198108,67.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198109,61.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198110,50.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198111,57.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198112,62.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198113,58.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198201,61.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198202,53.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198203,54.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198204,54.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198205,51.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198206,59.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198207,61.1,5,"Nuclear Generating Units, Capacity Factor",Percent
