MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETPUS,197712,23771,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197713,250883,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197801,25833,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197802,21833,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197803,22449,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197804,17580,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197805,20416,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197806,22185,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197807,25007,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197808,25599,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197809,22189,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197810,22997,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197811,24901,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197812,25415,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197813,276403,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197901,27792,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197902,25911,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197903,24335,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197904,18418,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197905,15025,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197906,16065,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197907,20825,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197908,24204,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197909,21804,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197910,20934,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197911,19255,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197912,20586,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,197913,255155,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198001,19746,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198002,19277,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198003,20039,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198004,18794,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198005,18385,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198006,18322,3,Nuclear Electricity Net Generation,Million Kilowatthours
