MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETSUS,197804,11,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197805,11.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197806,11.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197807,12.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197808,12.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197809,11.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197810,13.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197811,14.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197812,13.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197813,12.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197901,13.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197902,13.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197903,13.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197904,10.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197905,8.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197906,8.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197907,10.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197908,11.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197909,12,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197910,11.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197911,10.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197912,10.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,197913,11.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198001,9.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198002,10.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198003,10.7,4,Nuclear Share of Electricity Net Generation,Percent
