MSN,YYYYMM,Value,Column_Order,Description,Unit
NUGBPUS,197612,43.822,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197613,43.822,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197701,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197702,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197703,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197704,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197705,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197706,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197707,44.559,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197708,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197709,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197710,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197711,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197712,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197713,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197801,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197802,46.303,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197803,47.403,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197804,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197805,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197806,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197807,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197808,49.198,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197809,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197810,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197811,49.966,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197812,50.824,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197813,50.824,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197901,50.627,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197902,50.627,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197903,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197904,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197905,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197906,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197907,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197908,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197909,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197910,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197911,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197912,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,197913,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198001,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198002,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198003,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198004,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198005,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198006,49.747,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198007,50.895,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198008,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198009,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198010,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198011,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198012,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198013,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198101,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198102,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198103,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198104,51.81,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198105,52.638,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198106,53.744,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198107,53.744,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198108,53.744,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198109,54.894,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198110,54.894,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198111,54.894,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198112,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198113,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198201,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198202,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198203,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198204,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198205,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198206,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198207,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198208,56.042,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198209,58.16,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198210,58.1,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198211,60.035,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198212,60.035,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198213,60.035,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198301,59.532,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198302,59.632,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198303,59.632,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198304,59.658,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198305,59.883,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198306,61.686,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198307,61.23,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198308,61.44,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198309,62.227,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198310,62.876,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198311,62.809,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198312,63.009,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198313,63.009,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198401,63.009,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
